,similarity,sentence1,sentence2
9204,contradiction,"Children with painted red faces being sprayed with water, on grass.",The children have blue faces.
9205,contradiction,A man selling or buying oranges on a cart in an outside supermarket.,A man is selling steak knives on a cart.
9206,neutral,A man selling or buying oranges on a cart in an outside supermarket.,A man is outside on a cloudy day in front of a store.
9207,neutral,A man selling or buying oranges on a cart in an outside supermarket.,A man is conducting business outside of a store.
9208,neutral,"A young girl wearing a blue, flowered, spaghetti strap dress is eating marshmallows on a stick while sitting in a bucket of water.",a silly girl plays near a water bucket
9209,contradiction,"A young girl wearing a blue, flowered, spaghetti strap dress is eating marshmallows on a stick while sitting in a bucket of water.",a man makes smores alone
9210,entailment,"A young girl wearing a blue, flowered, spaghetti strap dress is eating marshmallows on a stick while sitting in a bucket of water.",a girl wearing a dress eats marshmallows
9211,neutral,A man in a hat is riding a motorized skateboard.,The skateboarder is wearing a hat on a cold day.
9212,contradiction,A man in a hat is riding a motorized skateboard.,The skateboarder is taking a break by sitting on the bench.
9213,entailment,A man in a hat is riding a motorized skateboard.,The guy with a hat is using a skateboard.
9214,contradiction,Two children feeding horses through a fence.,Children are throwing rocks at small sheep.
9215,neutral,Two children feeding horses through a fence.,Children are feeding a horse getting ready to ride them.
9216,entailment,Two children feeding horses through a fence.,Children attending to a animals needs.
9217,contradiction,"A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.",A young girl in a pink tutu is driving a motorcycle.
9218,entailment,"A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.",A woman in an orange sari is a passenger on a motor cycle.
9219,neutral,"A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.",The man is taking his wife and daughter on a motorcycle trip.
9220,neutral,A male musician is playing guitar for a show on stage.,Man putting on a show for his ex girlfriend
9221,contradiction,A male musician is playing guitar for a show on stage.,Man playing the piano
9222,entailment,A male musician is playing guitar for a show on stage.,Man playing music
9223,neutral,A marching band of kids while at a rodeo.,The kids are playing a song.
9224,entailment,A marching band of kids while at a rodeo.,There is a group of kids.
9225,contradiction,A marching band of kids while at a rodeo.,Adults make up the band.
9226,entailment,A young man is using gloves to control a device with wires in it.,A gloved young man is working on a wired device.
9227,neutral,A young man is using gloves to control a device with wires in it.,A young man is working on the electrical wiring for a new factory.
9228,neutral,A young man is using gloves to control a device with wires in it.,A gloved young man is controlling the remote for an RC car.
9229,contradiction,A woman is holding a cake frosted with chocolate-colored frosting and decorated with orange and yellow stars in front of a boy with blond-hair.,A woman is holding a fresh baked cherry pie in front of a girl in a party dress.
9230,entailment,A woman is holding a cake frosted with chocolate-colored frosting and decorated with orange and yellow stars in front of a boy with blond-hair.,A woman carries a delicious looking decorated cake.
9231,neutral,A woman is holding a cake frosted with chocolate-colored frosting and decorated with orange and yellow stars in front of a boy with blond-hair.,A woman has baked a chocolate frosted cake for the boys birthday.
9232,neutral,A man in a green shirt playing drums.,The man is a drum instructor.
9233,contradiction,A man in a green shirt playing drums.,This man plays the tuba while Sousa instructs.
9234,entailment,A man in a green shirt playing drums.,The man plays a percussive instrument.
9235,contradiction,A person in a blue shirt and tan shorts getting ready to roll a bowling ball down the alley.,A person is napping on the couch.
9236,entailment,A person in a blue shirt and tan shorts getting ready to roll a bowling ball down the alley.,A person is bowling.
9237,neutral,A person in a blue shirt and tan shorts getting ready to roll a bowling ball down the alley.,The person is enjoying an evening bowling.
9238,entailment,A woman in a white dress with one leg stops to read a poster.,A lady wearing white who only has one leg has stopped to read a poster.
9239,neutral,A woman in a white dress with one leg stops to read a poster.,A woman in a white dress had her leg amputated and has stopped to read a poster showing a wheelchair.
9240,contradiction,A woman in a white dress with one leg stops to read a poster.,A lady in a white dress runs past a poster.
9241,contradiction,Soccer players dressed in bright blue and white uniforms are jumping in the air.,Soccer players are running down the field.
9242,neutral,Soccer players dressed in bright blue and white uniforms are jumping in the air.,Soccer players are jumping in the air after their big win.
9243,entailment,Soccer players dressed in bright blue and white uniforms are jumping in the air.,Soccer players are jumping.
9244,entailment,A smiling young man is standing indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter.,A young man is standing on two scooters.
9245,neutral,A smiling young man is standing indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter.,The young man is standing on his scooter and his little brothers scooter simultaneously.
